Experiment,Model,Parameters,Train Time (s),Epochs,MAE,RMSE,R2,Directional Accuracy,Hit Rate,Sharpe,Strategy Return,Max Drawdown,Notes
Baseline,Linear Regression,,,,0.1887415778195752,0.2487063598374782,-33.790931402341535,0.4670487106017192,0.4670487106017192,-0.3981438054752892,-0.4944253207336149,-0.6943976262822069,Baseline
Baseline,Random Forest,,,,0.0330496315941803,0.0451353963796831,-0.1458474301465933,0.5157593123209169,0.5157593123209169,0.3340002165334151,0.0019703514124189,-0.675468111922626,Baseline
Baseline,LSTM,,,,0.0400355271995067,0.0522561063708957,-0.535912036895752,0.4899713467048711,0.4899713467048711,-0.1325523973294957,-0.3508026761488858,-0.741018589423618,Baseline
Baseline,GRU,,,,0.0344534888863563,0.0476135567844826,-0.2751272916793823,0.4785100286532951,0.4785100286532951,-0.1426960509171389,-0.357364296913147,-0.7827261090278625,Baseline
Baseline,XGBoost,,,,0.034422539817094,0.045011250930722,-0.1395527646517755,0.5787965616045845,0.5787965616045845,2.78905939206099,8.53579330444336,-0.703744649887085,Baseline
Baseline,PyTorch Transformer,813697.0,10.26,15.0,0.0322340317070484,0.043542892308663,-0.0664163827896118,0.4412607449856733,0.4412607449856733,-0.7996136320498447,-0.651580810546875,-0.8505220413208008,nn.TransformerEncoder
Custom Transformer,Custom Transformer,277377.0,4.133687973022461,15.0,0.0309623125940561,0.0431107334561185,-0.0453532934188842,0.5214899713467048,0.5214899713467048,0.1777598569626266,-0.1393903493881225,-0.601280152797699,Built completely from scratch
Custom Transformer,Custom Transformer,277377.0,3.748290538787842,4.0,0.1486145555973053,0.1555085591286561,-12.601940155029297,0.4355300859598854,0.4355300859598854,-1.7527435211050182,-0.8561429381370544,-0.9107078909873962,Price-Aware Attention
Custom Transformer,Custom Transformer,277377.0,6.04793119430542,8.0,0.0875098556280136,0.0977743245616851,-4.377023220062256,0.5644699140401146,0.5644699140401146,1.7527435211050182,2.694752216339112,-0.7979198098182678,Price-Aware Attention
Custom Transformer,Custom Transformer,277377.0,3.7801458835601807,5.0,0.4681516587734222,0.4709350362863879,-123.74244689941406,0.4355300859598854,0.4355300859598854,-1.7527435211050182,-0.8561429381370544,-0.9107078909873962,Price-Aware Attention
