number,value,datetime_start,datetime_complete,duration,params_d_model,params_dropout,params_ff_multiplier,params_lr,params_num_heads,params_num_layers,params_seq_len,params_use_top40,params_wd,state
0,-1.4965757239164073,2026-06-27 22:34:57.755170,2026-06-27 22:35:07.019770,0 days 00:00:09.264600,192,0.22871881192181914,4,0.00019544771801454633,8,2,40,False,0.009096139005109022,COMPLETE
1,-1.4249617077718302,2026-06-27 22:35:07.019770,2026-06-27 22:35:22.339373,0 days 00:00:15.319603,64,0.122061877897495,4,0.003757554009366665,4,3,20,False,5.222426834872403e-05,COMPLETE
2,-0.05355943536945185,2026-06-27 22:35:22.339373,2026-06-27 22:35:32.212739,0 days 00:00:09.873366,96,0.2556243130020938,4,0.00030849308875258375,8,3,40,True,4.368706492072196e-06,COMPLETE
3,-2.48490879703994,2026-06-27 22:35:32.212739,2026-06-27 22:35:47.356330,0 days 00:00:15.143591,192,0.24965147337009955,4,6.869664704193386e-05,8,3,80,False,2.8217903493491155e-06,COMPLETE
4,-1.9828954433357098,2026-06-27 22:35:47.356330,2026-06-27 22:36:03.061090,0 days 00:00:15.704760,96,0.10097980419058827,4,0.0003111676140994186,8,3,60,True,1.029446626447598e-05,COMPLETE
5,-0.39842752133707754,2026-06-27 22:36:03.061090,2026-06-27 22:36:12.177839,0 days 00:00:09.116749,128,0.357293073391306,2,0.00011022026724519333,8,3,60,True,0.007649180944293293,PRUNED
6,-4.2376587077153465,2026-06-27 22:36:12.177839,2026-06-27 22:36:20.198898,0 days 00:00:08.021059,96,0.0002708187359724779,4,2.3080534830561402e-05,8,2,80,True,0.008362068627808264,COMPLETE
7,-0.7498903367575435,2026-06-27 22:36:20.198898,2026-06-27 22:36:39.233071,0 days 00:00:19.034173,128,0.036958078231863166,4,0.00302043259613092,8,3,60,True,3.824175530394956e-05,PRUNED
8,-0.9126540705036279,2026-06-27 22:36:39.233071,2026-06-27 22:36:47.497557,0 days 00:00:08.264486,160,0.23092629651098578,2,0.0012658539048688753,4,3,60,False,3.040949495395512e-05,COMPLETE
9,-2.472300866395285,2026-06-27 22:36:47.497557,2026-06-27 22:36:56.140552,0 days 00:00:08.642995,192,0.14948993048731518,2,4.483762040347678e-05,4,2,80,False,0.00022298895329937157,COMPLETE
10,-2.333327088462325,2026-06-27 22:36:56.140552,2026-06-27 22:37:07.057575,0 days 00:00:10.917023,96,0.3952723501617777,2,1.013417411447601e-05,4,2,80,True,0.0005935710702556223,COMPLETE
11,-3.35576245030232,2026-06-27 22:37:07.057575,2026-06-27 22:37:16.113723,0 days 00:00:09.056148,192,0.00542732296535981,4,2.0039812264370774e-05,8,2,80,False,1.1310027419195603e-06,COMPLETE
