Model,Directional Accuracy,Hit Rate,Sharpe,Strategy Return,Max Drawdown
Linear Regression,0.4670487106017192,0.4670487106017192,-0.3981438054752892,-0.4944253207336149,-0.6943976262822069
Random Forest,0.5157593123209169,0.5157593123209169,0.3340002165334151,0.0019703514124189,-0.675468111922626
XGBoost,0.4899713467048711,0.4899713467048711,-0.1325523973294957,-0.3508026761488858,-0.741018589423618
LSTM,0.4785100286532951,0.4785100286532951,-0.1426960509171389,-0.357364296913147,-0.7827261090278625
GRU,0.5787965616045845,0.5787965616045845,2.78905939206099,8.53579330444336,-0.703744649887085
PyTorch Transformer,0.4412607449856733,0.4412607449856733,-0.7996136320498447,-0.651580810546875,-0.8505220413208008
Custom Transformer,0.5214899713467048,0.5214899713467048,0.1777598569626266,-0.1393903493881225,-0.601280152797699
Price-Aware Transformer,0.5644699140401146,0.5644699140401146,1.7527435211050182,2.694752216339112,-0.7979198098182678
Adaptive Financial Transformer,0.5644699140401146,0.5644699140401146,1.7527435211050182,2.694752216339112,-0.7979198098182678
Feature Guided Transformer,0.5214899713467048,0.5214899713467048,0.5392128898679048,0.2144924402236938,-0.7013385891914368
Adaptive Financial Transformer 2,0.5459770114942529,0.5459770114942529,2.971212459202349,2.028169631958008,-0.4139614105224609
De-biased Adaptive Transformer,0.5775862068965517,0.5775862068965517,2.472790128294492,1.7022051811218262,-0.5685036778450012
Multi-Objective AFT,0.5775862068965517,0.5775862068965517,2.472790128294492,1.7022051811218262,-0.5685036778450012
Optimized AFT (Regression),0.4498644986449865,0.4498644986449865,-0.7730275344478043,-0.2274761795997620,-0.3418795764446259
Optimized AFT (Financial),0.5866261398176292,0.5866261398176292,1.1653291875065115,0.5607988834381104,-0.2244306355714798
